"subject","Index","patch_ID","CongOrIncong","Patch_Source","Exist_Object","Patch_Position","response","p_confidence","latency","Image_ID","null_index","OLIFE_subscale_1_score","OLIFE_subscale_2_score","OLIFE_subscale_3_score","OLIFE_subscale_4_score","response","ratio_pxpermm","screen_size_x","screen_size_y","viewer_distance","line_size","calibration_image_size","list.viewing_distance.currentvalue","screen_x_threshold","distance_threshold"
"928370304","0","0","0","0","0","0","","0","140","0","0","0","0","0","0","2","5.8411214953271031192px","328.7040000000000077307px","184.895999999999986585px","-999","116.8224299065420552779px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","148","0","0","0","0","0","0","2","5.78271028037383239px","332.0242424242424021941px","186.7636363636363512342px","-999","115.6542056074766549045px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","136","0","0","0","0","0","0","2","5.7242990654205607726px","335.412244897959226364px","188.6693877551020648298px","-999","114.4859813084112118986px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","2762","0","0","0","0","0","0","2","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","6257","0","0","0","0","0","0","28","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","12619","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","7743","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","6900","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","7739","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","4976","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","7547","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","6826","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","8137","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","10539","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","9200","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","12124","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","-999","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","2968","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","527.8995363054144718262pct","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","0","0","0","0","0","0","","0","10878","0","0","0","0","0","0","57","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","1","1","3","0","1","-1","4","9896","15","0","0","0","0","0","response7d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","2","1","3","0","5","1","3","3545","15","0","0","0","0","0","response1d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","3","1","1","0","3","-1","4","1693","15","1","0","0","0","0","response7d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","4","1","1","0","5","-1","4","1125","15","1","0","0","0","0","response7d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","5","1","1","0","7","1","3","2582","15","1","0","0","0","0","response1d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","1","6","1","2","1","7","1","4","1945","15","0","0","0","0","0","response1d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","1","1","1","0","6","1","2","1366","118","1","0","0","0","0","response3d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","2","1","3","0","6","1","3","1484","118","0","0","0","0","0","response1d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","3","1","2","1","8","1","4","1020","118","0","0","0","0","0","response1d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","4","1","1","0","9","-1","1","1402","118","1","0","0","0","0","response5d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","5","1","1","0","8","-1","2","1220","118","1","0","0","0","0","response5d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
"928370304","2","6","1","3","0","2","-1","3","1481","118","0","0","0","0","0","response7d","5.6658878504672900434px","338.870103092783494958px","190.614432989690726572px","561.775442378489060502","113.3177570093457973144px","13594.391999999999825377px","","230px","300pct"
